Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
yellow,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      notebook/notebook_2_1_170 (nan)      ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
yellow,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      tomato/tomato_1_4_101 (nan)      ,plate/plate_6_1_64 (nan) ,plate/plate_6_1_64 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
yellow,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,plate/plate_6_1_64 (nan) ,plate/plate_6_1_64 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
yellow,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      notebook/notebook_2_1_170 (nan)      ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
yellow,glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      notebook/notebook_2_1_170 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
yellow,food_jar/food_jar_3_4_80 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      glue_stick/glue_stick_1_4_146 (nan)      tomato/tomato_1_4_101 (nan)      ,plate/plate_6_1_64 (nan) ,plate/plate_6_1_64 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
yellow,glue_stick/glue_stick_1_4_146 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      notebook/notebook_2_1_170 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
yellow,pear/pear_2_4_64 (nan)      camera/camera_2_1_72 (nan)      plate/plate_6_1_64 (nan)      notebook/notebook_2_1_170 (nan)      tomato/tomato_1_4_101 (nan)      food_jar/food_jar_3_4_80 (nan)      ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) pear/pear_2_4_64 (nan) ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) pear/pear_2_4_64 (nan) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
yellow,food_jar/food_jar_3_4_80 (nan)      plate/plate_6_1_64 (nan)      notebook/notebook_2_1_170 (nan)      pear/pear_2_4_64 (nan)      ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) pear/pear_2_4_64 (nan) ,plate/plate_6_1_64 (nan) notebook/notebook_2_1_170 (nan) pear/pear_2_4_64 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
