Token,Type,0-apple/apple_1_1_188,0-ball/ball_1_2_185,0-banana/banana_2_4_195,0-bell_pepper/bell_pepper_1_4_138,0-binder/binder_3_2_50,0-bowl/bowl_1_1_179,0-calculator/calculator_3_4_11,0-camera/camera_2_1_72,0-cap/cap_4_2_163,0-cell_phone/cell_phone_1_2_110,0-cereal_box/cereal_box_2_4_33,0-coffee_mug/coffee_mug_3_2_160,0-comb/comb_1_4_193,0-dry_battery/dry_battery_1_1_65,0-flashlight/flashlight_3_1_142,0-food_bag/food_bag_1_2_138,0-food_box/food_box_5_2_134,0-food_can/food_can_10_4_167,0-food_cup/food_cup_2_2_74,0-food_jar/food_jar_3_4_80,0-garlic/garlic_7_1_74,0-glue_stick/glue_stick_1_4_146,0-greens/greens_1_2_89,0-hand_towel/hand_towel_4_4_38,0-instant_noodles/instant_noodles_1_1_119,0-keyboard/keyboard_5_4_130,0-kleenex/kleenex_3_4_214,0-lemon/lemon_2_4_188,0-lightbulb/lightbulb_4_1_36,0-lime/lime_4_1_15,0-marker/marker_4_1_75,0-mushroom/mushroom_3_2_154,0-notebook/notebook_2_1_170,0-onion/onion_4_2_44,0-orange/orange_3_1_145,0-peach/peach_3_2_234,0-pear/pear_2_4_64,0-pitcher/pitcher_2_1_44,0-plate/plate_6_1_64,0-pliers/pliers_4_1_184,0-potato/potato_5_1_106,0-rubber_eraser/rubber_eraser_3_4_143,0-scissors/scissors_3_4_107,0-shampoo/shampoo_6_1_230,0-soda_can/soda_can_3_4_5,0-sponge/sponge_5_4_261,0-stapler/stapler_3_4_88,0-tomato/tomato_1_4_101,0-toothbrush/toothbrush_4_2_39,0-toothpaste/toothpaste_1_4_71,0-water_bottle/water_bottle_7_1_97
,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,object,1.0598570767361995e-06,6.469391031933599e-06,6.668909175866784e-08,2.350067103505786e-07,4.1959953752252926e-07,4.996164425767568e-06,1.7123683198032573e-06,0.0006335539837999922,7.062469317070618e-06,2.8005219691802394e-06,3.909673458865549e-10,8.463095547369136e-07,0.00021001068517293562,2.4146812919788778e-05,0.04349238427787028,5.72141125760048e-09,2.5082024729111517e-06,0.001502754280946416,7.160224705534088e-13,0.00011532670631770063,0.0002844919062885087,0.00016129277881534297,8.593582908533175e-07,0.00017239312071250018,2.2412524410358924e-06,3.248805735613265e-07,2.0994675845545297e-06,0.00013496205599656307,3.0327018400345857e-09,5.1717987323193454e-08,0.00021030304474807816,2.3107305232521562e-06,0.00041812879119409964,7.097819712539095e-05,1.0184099789257257e-05,2.9240093119745493e-08,0.0004314356397220358,0.00038476422978943125,0.00046885654801444906,0.0001534954148025466,3.332301426447988e-05,0.0008106620390897872,1.1777455569986656e-08,1.7256657909093207e-10,0.9999845032609688,9.724198611842837e-06,2.091725736676764e-07,7.057475620574366e-05,2.28293258923609e-06,3.665963916423447e-08,1.3302791445078654e-06
alfredo,object,3.0449657031888335e-10,1.3811234457035422e-19,3.834825320522976e-12,1.0432897307732212e-17,1.345010410981351e-35,4.9698578489644866e-12,1.7257269972821635e-31,7.127312303463539e-29,0.003947278562879476,1.2673844518160903e-21,1.6217788864566394e-39,6.409307393313922e-07,5.730696283269113e-35,1.7511284628454192e-23,3.153086441099708e-13,8.335823044556797e-12,1.998346706486853e-08,1.9765660518361932e-16,1.6520396912332582e-27,0.016554900906463547,2.6995282531864037e-10,1.890849579417498e-10,7.823878727738285e-35,4.5429579929688103e-14,1.1270730079531418e-22,4.110518154570191e-51,5.452484789315762e-15,3.6355956667717706e-12,7.589277514599775e-23,0.0006029620942432041,0.000878272403877963,4.825307771913223e-15,4.618243530413127e-08,4.4809429522890435e-10,6.496683009904184e-11,5.772774029591182e-09,4.2874530235082646e-08,1.360469555743756e-15,1.8826549796434281e-10,1.5642043950366518e-12,4.844165688892404e-17,2.890834366212542e-12,1.3875595506760523e-15,0.039746602654650375,2.5577729242424246e-06,1.6056635697562048e-20,4.939922509008223e-33,6.279670287574648e-10,2.6204493689939417e-19,1.930114176000591e-17,0.00018912275150559043
apple,object,0.999999999999784,1.4677465649274933e-21,2.025702579944529e-12,3.7427582433614786e-07,5.713123508788573e-20,8.972210921596024e-16,1.6804579780096066e-20,1.648011146914347e-17,0.0009816935482902067,8.219714988819209e-19,6.35854186789209e-16,6.623641526182922e-07,1.5841968913125734e-11,8.585705339767796e-38,8.879974606502189e-11,1.0401102978393242e-18,4.9294773750253435e-12,5.048768702034792e-09,8.920932278050362e-37,3.258081817584791e-07,9.30994271372976e-15,4.6466639976129315e-18,0.012267860746415515,2.183277267682059e-09,5.176932290800397e-17,1.3208392332269943e-08,3.3845060499209403e-10,0.0001684082531031325,9.355009355479572e-30,0.9999999957870274,0.0002121035774124723,3.085852040219573e-10,3.0280079957929544e-08,3.9790699334853764e-07,1.0198257476028821e-08,0.9997980103022815,0.9998343980643946,3.1774799305708017e-11,3.74905659791574e-16,1.495596837379923e-09,7.953614357773289e-07,1.2159458920090818e-07,2.7088248724912474e-29,5.7922210571491175e-31,8.127576545973338e-09,3.2348170800456754e-14,2.926428876893726e-17,1.2527125328340796e-09,6.386686497247002e-13,1.2465574219208273e-16,8.91047625568287e-22
bag,object,2.2919250663417337e-07,1.2879687374365294e-11,8.063369763521312e-30,1.1807813968930177e-24,2.325780763044345e-08,1.0696368208754035e-13,1.455098777389468e-22,8.763985474433103e-08,3.053008187616123e-13,3.5502866637162376e-11,1.1918574985787804e-18,8.593741377348572e-10,5.6103694856770286e-21,3.1401900251884176e-07,7.89750868588587e-06,0.9999656493226438,4.2812688489734084e-11,1.249203176699422e-07,3.0712552234497068e-27,3.17489480921656e-08,1.889996127729818e-09,4.767574771162163e-06,9.582118295861025e-08,3.7006313537533095e-08,0.999999451554266,2.251282379904885e-21,4.193917772117258e-09,9.694128846830913e-09,1.4595073356132576e-05,6.3518509898855255e-12,2.247494494424929e-06,1.104604491131884e-06,2.80612021813232e-14,7.590379626651336e-13,1.0419069927515005e-25,6.496830702390067e-16,2.2972189369133923e-06,1.5724768739607103e-07,1.2756059995332661e-11,2.1792389250136894e-13,4.9996248324027764e-05,5.410681792102024e-08,5.8163132320613365e-28,1.334188461279304e-18,1.675992072854976e-05,0.01477320094941174,1.830441591976227e-11,1.3541043711857558e-12,6.889963858565867e-23,1.06077720228147e-09,3.389489718334396e-08
baking,object,6.130483297441123e-10,1.0161551108223978e-07,7.28689681517844e-09,2.022634597686358e-10,1.2369691300651407e-08,4.788041488646933e-06,7.658942966846311e-07,2.7871074068652817e-05,2.4641139676763973e-07,6.336892228271502e-07,1.6541663232830133e-09,1.2575087880678494e-05,1.2613692090555759e-06,9.929680900399453e-06,0.015050006986138365,4.748886372400626e-09,1.7045424731759406e-06,1.362299559122968e-05,3.6349567996312373e-12,0.0002933385923644943,0.001031181586684901,0.0003201317471851759,9.07647820004441e-07,4.542807320745249e-05,3.816771533032827e-06,1.9779980295989216e-06,4.257625803222481e-06,2.7192392319439674e-05,9.493076364835065e-08,1.0230496790382375e-08,0.0006108897675393088,0.4978055607960272,2.9200479294550414e-05,0.0012599598197080939,6.0135537554589e-07,2.5929990007022306e-07,0.005543730795595901,0.0003181037008891823,0.004804144945813182,0.00037800900225883305,0.99994713008625,0.0010177173001883982,1.5938962453056538e-10,4.1552606820700427e-10,0.00015449147746760222,2.775952704387305e-05,1.0339484493235917e-07,0.0005854613287564464,7.813455000985601e-07,1.1729966036046807e-07,3.5448979159622496e-06
ball,object,6.240414604744304e-10,8.730998633006308e-06,6.96229586786732e-14,1.8020936957373824e-18,1.6373895868860797e-76,1.86776710637e-42,1.536984616870926e-54,1.7543323299026058e-21,1.0,9.81657855934171e-17,8.928609870017051e-51,9.330516108865785e-19,3.0639120555086237e-46,1.0788017473157146e-37,4.650398593907216e-30,7.606821634745689e-39,2.802589885360175e-29,3.5110094344109068e-22,9.810881536449138e-09,1.911952688528098e-16,5.6449068525068456e-15,3.6967484337119687e-14,2.256622677280679e-53,1.371077497167631e-39,9.800564818984147e-22,1.916869104143516e-54,1.4895497762732892e-23,0.7891345485366996,2.9787636474596133e-41,7.300118088536356e-09,6.922570696094535e-34,2.199144453867097e-25,5.447697865299798e-75,5.075532020679793e-05,0.13258566799801305,9.297192526276625e-11,6.986698033941693e-28,2.676461454923139e-28,9.506903013956327e-28,4.26153898946342e-37,4.0526171050018795e-22,1.459149287557468e-07,1.3079674250731716e-20,0.02318305503452068,1.7379108255746515e-34,4.8648745075246155e-27,1.5790285726382498e-27,5.600883877132958e-05,4.780777453454851e-06,7.830823905983173e-30,1.1254058763409248e-19
banana,object,1.4060140463682374e-08,4.620437515280151e-06,0.9999999993037747,1.535290936133525e-05,1.1299950146829464e-12,4.946312033973497e-06,1.1891606510217613e-07,1.6334877937492906e-06,5.476532221137318e-05,8.745947841050796e-09,3.4569839528380137e-10,0.0035664372820131828,2.4234018539185763e-14,3.45414825929402e-11,1.731888751786963e-05,8.08899040068228e-13,1.871204641120812e-07,4.461237746429163e-06,3.943967766035901e-16,7.922762968513501e-05,0.00010223196602819109,4.900887180201234e-07,7.12506358403854e-06,4.215832515490698e-05,4.9171191820457866e-08,1.4569118793407395e-06,5.186238490462621e-05,1.6240944834875333e-10,4.906480850874683e-11,1.9710416326985706e-06,0.00010304880010184274,0.00016517149786009715,0.015551752409319754,1.5629318690610306e-06,7.165785373222048e-05,1.5524183092229683e-07,0.22815283379734994,2.27622389587532e-08,0.00010169373158739012,3.881490020447628e-06,3.0421807584296535e-07,1.6304963253329255e-06,6.848418084172307e-11,1.0444994999695352e-12,2.6774423632168754e-05,9.601257746135328e-08,2.112704471688536e-06,0.0005160839255891724,1.1062610858025287e-05,3.446289925221149e-08,4.344338361503015e-07
baseball,object,1.0235443295574142e-12,2.8240439680409398e-08,1.6995549186055894e-15,3.0016714674420765e-19,1.224754596920953e-09,5.454896457840293e-17,2.717840632309871e-10,2.3697912004403982e-08,0.9999999999987319,6.449173416402614e-11,1.956051387527534e-14,2.5500251830448808e-11,0.0018140913233875395,2.740934461343429e-09,3.780486787015256e-05,4.661130171687676e-12,1.4636995837502635e-15,1.5646900977176184e-07,2.048780957355183e-14,5.447382219717945e-10,4.141738413502515e-08,1.5713850863225667e-06,6.65943747003155e-15,4.67781195587751e-09,4.437031650596448e-10,5.587239753441706e-06,5.662666581950161e-09,1.4665535505714778e-05,9.857947317719333e-11,2.8285773756663214e-05,2.348357025736732e-06,3.6717328719864916e-08,2.319045007261669e-06,2.322080454402526e-07,1.702349049139344e-17,2.001586040524115e-15,2.518908080696827e-14,3.977341703776741e-05,4.5146079304553865e-14,6.782468705300974e-11,6.899202830889047e-07,0.0009047802224800647,3.554314830588027e-20,2.665516184935294e-15,8.311976654523337e-08,4.275384229033897e-09,5.480162777428264e-10,2.563453753204234e-05,5.249909918829698e-06,8.015687520055104e-12,1.879347485950949e-08
basketball,object,9.461518971809013e-08,0.043429375750790394,1.8705579955784974e-06,1.3859863303507643e-07,1.6312763371538326e-12,3.2205315949804877e-09,5.244251558393418e-06,2.749031543253875e-05,0.000611331405361703,8.507547336150344e-09,5.600169436362652e-11,2.902026434722394e-06,7.376874638430628e-08,1.909631145380968e-06,5.0296455745409665e-06,2.5203248255893623e-11,4.822517788816868e-08,9.395071269606342e-06,7.767448851647334e-16,1.006804471032083e-05,0.0002035797822275812,1.4348188800624234e-05,4.563632021283202e-07,5.023567294610736e-08,1.2231796289638439e-08,2.589244831392159e-07,2.762828911892625e-07,5.388778912993293e-06,6.415759491360771e-13,7.446319325046373e-09,1.5299720443862964e-05,1.0337098454639018e-07,0.0022623029106789536,0.0003231346943298949,0.0004151419880433233,2.6623437649540513e-07,1.4724487729980513e-06,0.000392303542392258,1.3855001551937515e-05,0.00028332233690509635,0.029121919500051673,0.0033297625182325684,1.0011004334160399e-10,1.3458408125979876e-14,1.4896557212759316e-05,4.675432495522489e-07,2.2345396223322827e-08,0.00026073915740547967,1.709542941633711e-05,1.1444416358022098e-10,9.08752883463245e-08
